anio,ccaa,provincia,licencias_expedidas,importe_expedidas,lic_vigentes_anteriores
2008,Andalucía,Granada,34728.0,540639.06,69588.0
2008,Andalucía,Huelva,27084.0,425498.86,47788.0
2008,Andalucía,Jaén,32976.0,491025.63,60630.0
2008,Andalucía,Málaga,29805.0,468298.16,61320.0
2008,Andalucía,Sevilla,69293.0,1014252.64,130884.0
2008,Cantabria,Cantabria,7056.0,106945.32,3325.0
2008,Castilla-La Mancha,Albacete,1585.0,33651.0,3854.0
2008,Castilla-La Mancha,Ciudad Real,16738.0,520737.47,7318.0
2008,Castilla-La Mancha,Cuenca,20731.0,474411.03,4863.0
2008,Castilla-La Mancha,Guadalajara,16833.0,551834.0,16833.0
2008,Castilla-La Mancha,Toledo,36028.0,912720.41,8631.0
2008,Castilla y León,Ávila,3049.0,83875.8,
2008,Castilla y León,Burgos,3866.0,102972.75,
2008,Castilla y León,León,5558.0,144429.25,
2008,Castilla y León,Palencia,3509.0,90118.0,
2008,Castilla y León,Salamanca,4795.0,128437.4,
2008,Castilla y León,Segovia,1510.0,392333.6,
2008,Castilla y León,Soria,1940.0,55680.7,
2008,Castilla y León,Valladolid,101608.0,2604161.25,
2008,Castilla y León,Zamora,3335.0,85104.5,
2008,Cataluña,Barcelona,30945.0,596014.1,31818.0
2008,Cataluña,Gerona,10468.0,218922.9,10753.0
2008,Cataluña,Lérida,10269.0,211183.75,10407.0
2008,Cataluña,Tarragona,16678.0,348880.5,17152.0
2008,Madrid,Madrid,16044.0,,19820.0
2008,Navarra,Navarra,23741.0,284892.0,0.0
2008,Galicia,La Coruña,11884.0,313041.8,
2008,Galicia,Lugo,9560.0,248769.4,
2008,Galicia,Pontevedra,10547.0,278453.5,
2008,Baleares,Baleares,13516.0,,14178.0
2008,La Rioja,La Rioja,10262.0,234790.0,3279.0
2008,Murcia,Murcia,18253.0,410004.0,24641.0
2007,Andalucía,Almería,43611.0,792125.5,80369.0
2007,Andalucía,Cádiz,25464.0,408465.98,48169.0
